,start_time,end_time,duration,start_latitude,start_longitude,end_latitude,end_longitude,driving_distance,start_year,end_year,year,start_month,end_month,month,start_day,end_day,day,start_hour,end_hour,start_weekday,end_weekday,start_daytype,end_daytype,geometry,date,daytype,city,euclidean_distance,hour,random_seconds_start,random_seconds_end,random_seconds_pos,ia_timeout,avg_speed,avg_speed_kmh,origin_id,destination_id,origin_i,origin_j,destination_i,destination_j
60,2019-02-01 05:36:03.877780-05:00,2019-02-01 05:39:04.613068-05:00,180.735288,38.212,-85.762,38.207,-85.764,643.6,2019,2019,2019,2,2,2,1,1,1,10,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.212, -85.764 38.207)",2019-02-01,weekday,Louisville,582.7891438645705,10,363.8777804717745,544.6130682993203,232.0631989491724,207.892894,3.5610090709015276,12.819632655245499,83.0,83.0,3.0,5.0,3.0,5.0
64,2019-02-01 05:46:33.248568-05:00,2019-02-01 05:53:05.649608-05:00,392.40104,38.222,-85.752,38.216,-85.757,353.98,2019,2019,2019,2,2,2,1,1,1,10,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.752 38.222, -85.75700000000001 38.216)",2019-02-01,weekday,Louisville,797.4406619609838,10,93.24856812882933,-414.350391723366,30.87612485523269,629.370788,0.9020873135300559,3.2475143287082013,67.0,99.0,3.0,4.0,3.0,6.0
68,2019-02-01 05:48:16.430558-05:00,2019-02-01 06:15:55.612421-05:00,1659.181863,38.22,-85.758,38.234,-85.75,1689.45,2019,2019,2019,2,2,2,1,1,1,11,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.22, -85.75 38.234)",2019-02-01,weekday,Louisville,1706.3810919034731,11,-703.5694416720544,55.61242095829789,196.28042921507384,103.18199,1.0182428085039885,3.6656741106143587,99.0,98.0,3.0,6.0,2.0,6.0
65,2019-02-01 05:50:46.713200-05:00,2019-02-01 06:08:10.889764-05:00,1044.176564,38.216,-85.762,38.227,-85.758,1496.37,2019,2019,2019,2,2,2,1,1,1,10,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.216, -85.758 38.227)",2019-02-01,weekday,Louisville,1272.0782260441931,10,346.71320016163736,490.8897635249057,420.7682402609857,150.282642,1.4330622344824049,5.1590240441366575,90.0,75.0,10.0,5.0,11.0,4.0
66,2019-02-01 05:53:36.447317-05:00,2019-02-01 05:59:04.523443-05:00,328.076126,38.226,-85.76,38.216,-85.762,756.2299999999999,2019,2019,2019,2,2,2,1,1,1,10,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.76000000000001 38.226, -85.762 38.216)",2019-02-01,weekday,Louisville,1125.5918064688483,10,516.4473167337906,431.8845940357239,328.07612554576053,128.734784,2.305044287190833,8.298159433887,67.0,99.0,3.0,4.0,3.0,6.0
62,2019-02-01 05:57:46.843490-05:00,2019-02-01 06:01:41.119749-05:00,234.276259,38.221,-85.762,38.218,-85.759,434.43,2019,2019,2019,2,2,2,1,1,1,10,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.221, -85.759 38.218)",2019-02-01,weekday,Louisville,424.2223015317935,10,766.8434902652402,328.33924898599867,234.2762593764457,250.396173,1.8543492279343592,6.675657220563693,67.0,99.0,3.0,4.0,3.0,6.0
71,2019-02-01 05:59:26.921741-05:00,2019-02-01 06:05:27.436708-05:00,360.514967,38.213,-85.758,38.209,-85.763,868.86,2019,2019,2019,2,2,2,1,1,1,11,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.213, -85.76300000000001 38.209)",2019-02-01,weekday,Louisville,623.4318969544726,11,-33.07825936798997,-768.9859694893092,360.5149667515229,100.078251,2.410052506918527,8.676189024906698,83.0,115.0,3.0,5.0,3.0,7.0
67,2019-02-01 06:09:15.868607-05:00,2019-02-01 06:13:47.957466-05:00,272.088859,38.221,-85.762,38.218,-85.759,337.89,2019,2019,2019,2,2,2,1,1,1,11,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.221, -85.759 38.218)",2019-02-01,weekday,Louisville,424.2223015317935,11,555.8686072896742,-793.0672375651766,272.0888585892055,588.946866,1.2418369544487668,4.4706130360155605,99.0,98.0,3.0,6.0,2.0,6.0
69,2019-02-01 06:13:51.135304-05:00,2019-02-01 06:19:36.258685-05:00,345.123381,38.22,-85.758,38.221,-85.756,176.99,2019,2019,2019,2,2,2,1,1,1,11,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.22, -85.756 38.221)",2019-02-01,weekday,Louisville,207.1001572663023,11,831.1353041641021,421.8285079719433,345.12338138601297,275.266697,0.5128310909772874,1.8461919275182348,82.0,83.0,2.0,5.0,3.0,5.0
76,2019-02-01 06:21:04.890457-05:00,2019-02-01 06:35:01.706420-05:00,836.815963,38.221,-85.765,38.223,-85.766,273.53000000000003,2019,2019,2019,2,2,2,1,1,1,11,11,Fri,Fri,weekday,weekday,"LINESTRING (-85.765 38.221, -85.76600000000001 38.223)",2019-02-01,weekday,Louisville,238.9319422444042,11,-535.1095431104958,301.7064195579626,367.42155779284303,233.805957,0.32686995957795806,1.176731854480649,91.0,74.0,11.0,5.0,10.0,4.0
